id_cliente;nome;cpf;data_criacao
1;KEN J SANCHEZ;15296387930;2022-09-23
2;TERRI LEE DUFFY;10578963690;2022-09-23
3;ROBERTO  TAMBURELLO;36925874120;2022-09-23
4;ROB  WALTERS;23658979630;2022-09-23
5;GAIL A ERICKSON;78952589746;2022-09-23
6;JOSSEF H GOLDBERG;78936979890;2022-09-23
7;DYLAN A MILLER;74185236930;2022-09-23
8;DIANE L MARGHEIM;11594893690;2022-09-23
9;GIGI N MATTHEW;96385276350;2022-09-23
10;MICHAEL  RAHEEM;96389678979;2022-09-23
11;OVIDIU V CRACIUM;78589632149;2022-09-23
12;THIERRY B DHERS;8569586350;2022-09-23
13;JANICE M GALVIN;78985858585;2022-09-23
14;MICHAEL I SULLIVAN;85287563201;2022-09-23
15;SHARON B SALAVARIA;78985632050;2022-09-23
16;DAVID M BRADLEY;75386391470;2022-09-23
17;KEVIN F BROWN;78985286304;2022-09-23
18;JOHN L WOOD;45689520540;2022-09-23
19;MARY A DEMPSEY;78963852820;2022-09-23
20;WANIDA M BENSHOOF;785636588;2022-09-23
